ticker,date,period_ending,estimate,reported,surprise,surprise%
WST,28-JUL-22,Jun 2022,2.19,2.47,0.28,12.79
SGEN,28-JUL-22,Jun 2022,-0.82,-0.73,0.09,10.98
DGX,21-JUL-22,Jun 2022,2.26,2.36,0.1,4.42
HZNP,03-AUG-22,Jun 2022,1.35,1.07,-0.28,-20.74
PKI,01-AUG-22,Jun 2022,2.03,2.32,0.29,14.29
STE,02-AUG-22,Jun 2022,1.9,1.9,0.0,0.0
ABMD,04-AUG-22,Jun 2022,1.08,1.25,0.17,15.74
RPRX,04-AUG-22,Jun 2022,0.78,0.79,0.01,1.28
BMRN,03-AUG-22,Jun 2022,0.43,0.59,0.16,37.21
ALGN,27-JUL-22,Jun 2022,2.12,2.0,-0.12,-5.66
COO,31-AUG-22,Jul 2022,3.2,3.19,-0.01,-0.31
INCY,02-AUG-22,Jun 2022,0.79,1.01,0.22,27.85
TECH,04-AUG-22,Jun 2022,2.06,2.05,-0.01,-0.49
AVTR,28-JUL-22,Jun 2022,0.38,0.37,-0.01,-2.63
CRL,03-AUG-22,Jun 2022,2.74,2.77,0.03,1.09
UTHR,03-AUG-22,Jun 2022,4.1,2.41,-1.69,-41.22
NBIX,04-AUG-22,Jun 2022,0.56,-0.18,-0.74,-132.14
QGEN,26-JUL-22,Jun 2022,0.45,0.51,0.06,13.33
RGEN,02-AUG-22,Jun 2022,0.72,0.91,0.19,26.39
HSIC,02-AUG-22,Jun 2022,1.12,1.16,0.04,3.57
TFX,28-JUL-22,Jun 2022,3.35,3.39,0.04,1.19
SWAV,08-AUG-22,Jun 2022,0.43,0.68,0.25,58.14
SRPT,02-AUG-22,Jun 2022,-1.07,-2.65,-1.58,-147.66
JAZZ,03-AUG-22,Jun 2022,4.2,4.3,0.1,2.38
BIO,28-JUL-22,Jun 2022,2.46,3.38,0.92,37.4
UHS,25-JUL-22,Jun 2022,2.08,2.2,0.12,5.77
NVCR,28-JUL-22,Jun 2022,-0.14,-0.23,-0.09,-64.29
BRKR,03-AUG-22,Jun 2022,0.45,0.45,0.0,0.0
