ticker,date,period_ending,estimate,reported,surprise,surprise%
MWA,04-AUG-22,Jun 2022,0.2,0.19,-0.01,-5.0
ARCB,29-JUL-22,Jun 2022,3.91,4.3,0.39,9.97
AMRC,01-AUG-22,Jun 2022,0.45,0.62,0.17,37.78
B,29-JUL-22,Jun 2022,0.48,0.56,0.08,16.67
DOOR,08-AUG-22,Jun 2022,2.43,2.58,0.15,6.17
MAXR,09-AUG-22,Jun 2022,0.08,0.16,0.08,100.0
MYRG,27-JUL-22,Jun 2022,1.1,1.15,0.05,4.55
SPWR,02-AUG-22,Jun 2022,0.05,0.03,-0.02,-40.0
ATSG,04-AUG-22,Jun 2022,0.51,0.59,0.08,15.69
GVA,28-JUL-22,Jun 2022,0.51,0.38,-0.13,-25.49
HLIO,08-AUG-22,Jun 2022,1.18,1.18,0.0,0.0
HURN,28-JUL-22,Jun 2022,0.77,0.83,0.06,7.79
CSWI,05-AUG-22,Jun 2022,1.37,1.88,0.51,37.23
AIR,21-JUL-22,May 2022,0.68,0.72,0.04,5.88
VRTV,09-AUG-22,Jun 2022,4.5,6.12,1.62,36.0
EPAC,28-JUN-22,May 2022,0.29,0.16,-0.13,-44.83
ROCK,03-AUG-22,Jun 2022,0.83,0.96,0.13,15.66
DRVN,27-JUL-22,Jun 2022,0.29,0.35,0.06,20.69
UPWK,27-JUL-22,Jun 2022,-0.1,-0.04,0.06,60.0
WNC,27-JUL-22,Jun 2022,0.47,0.46,-0.01,-2.13
PSN,03-AUG-22,Jun 2022,0.41,0.41,0.0,0.0
KAR,02-AUG-22,Jun 2022,0.08,-0.04,-0.12,-150.0
GFF,28-JUL-22,Jun 2022,0.91,1.23,0.32,35.16
ALG,03-AUG-22,Jun 2022,2.06,2.39,0.33,16.02
KTOS,04-AUG-22,Jun 2022,0.03,0.07,0.04,133.33
TGH,02-AUG-22,Jun 2022,1.46,1.63,0.17,11.64
FCEL,08-SEP-22,Jul 2022,-0.06,-0.08,-0.02,-33.33
DNOW,03-AUG-22,Jun 2022,0.17,0.26,0.09,52.94
SPCE,04-AUG-22,Jun 2022,-0.38,-0.43,-0.05,-13.16
PRIM,08-AUG-22,Jun 2022,0.59,0.48,-0.11,-18.64
SNDR,28-JUL-22,Jun 2022,0.68,0.72,0.04,5.88
CXW,02-AUG-22,Jun 2022,0.36,0.13,-0.23,-63.89
HEES,28-JUL-22,Jun 2022,0.64,0.76,0.12,18.75
PGTI,26-JUL-22,Jun 2022,0.45,0.67,0.22,48.89
APOG,23-JUN-22,May 2022,0.43,1.0,0.57,132.56
SXI,04-AUG-22,Jun 2022,1.47,1.54,0.07,4.76
GBX,11-JUL-22,May 2022,0.67,0.09,-0.58,-86.57
CRAI,04-AUG-22,Jun 2022,1.26,1.58,0.32,25.4
HCSG,20-JUL-22,Jun 2022,0.12,0.09,-0.03,-25.0
GTES,05-AUG-22,Jun 2022,0.26,0.32,0.06,23.08
KFRC,01-AUG-22,Jun 2022,1.19,1.3,0.11,9.24
ALGT,03-AUG-22,Jun 2022,0.62,0.62,0.0,0.0
MRTN,18-JUL-22,Jun 2022,0.32,0.39,0.07,21.88
GEO,02-AUG-22,Jun 2022,0.58,0.37,-0.21,-36.21
ACVA,10-AUG-22,Jun 2022,-0.19,-0.1,0.09,47.37
AZZ,11-JUL-22,May 2022,1.03,1.4,0.37,35.92
MEG,08-AUG-22,Jun 2022,-0.12,0.03,0.15,125.0
ROAD,05-AUG-22,Jun 2022,0.11,0.23,0.12,109.09
EAF,05-AUG-22,Jun 2022,0.42,0.44,0.02,4.76
MRC,08-AUG-22,Jun 2022,0.29,0.27,-0.02,-6.9
ASTE,02-AUG-22,Jun 2022,0.5,0.19,-0.31,-62.0
SKYW,28-JUL-22,Jun 2022,0.48,1.07,0.59,122.92
AMWD,30-AUG-22,Jul 2022,1.31,1.71,0.4,30.53
PL,12-SEP-22,Jul 2022,-0.18,-0.15,0.03,16.67
LZ,11-AUG-22,Jun 2022,0.01,0.05,0.04,400.0
JELD,01-AUG-22,Jun 2022,0.69,0.57,-0.12,-17.39
STRL,01-AUG-22,Jun 2022,0.74,0.86,0.12,16.22
NKLA,04-AUG-22,Jun 2022,-0.27,-0.25,0.02,7.41
FC,29-JUN-22,May 2022,0.18,0.26,0.08,44.44
NX,01-SEP-22,Jul 2022,0.62,0.79,0.17,27.42
MATW,28-JUL-22,Jun 2022,0.53,0.58,0.05,9.43
PLOW,01-AUG-22,Jun 2022,0.66,0.85,0.19,28.79
SP,03-AUG-22,Jun 2022,0.7,0.81,0.11,15.71
HA,26-JUL-22,Jun 2022,-0.86,-0.9,-0.04,-4.65
CMCO,28-JUL-22,Jun 2022,0.6,0.69,0.09,15.0
RGP,28-JUL-22,May 2022,0.41,0.67,0.26,63.41
TITN,25-AUG-22,Jul 2022,0.71,1.1,0.39,54.93
TGI,03-AUG-22,Jun 2022,0.09,0.12,0.03,33.33
CIR,30-SEP-22,Jun 2022,0.36,0.32,-0.04,-11.11
KELYA,11-AUG-22,Jun 2022,0.48,0.45,-0.03,-6.25
HTLD,25-JUL-22,Jun 2022,0.26,0.97,0.71,273.08
CMRE,28-JUL-22,Jun 2022,0.87,0.95,0.08,9.2
BBSI,03-AUG-22,Jun 2022,1.87,2.48,0.61,32.62
THR,04-AUG-22,Jun 2022,0.09,0.25,0.16,177.78
EGLE,04-AUG-22,Jun 2022,4.17,4.98,0.81,19.42
TWI,01-AUG-22,Jun 2022,0.66,0.79,0.13,19.7
PRLB,05-AUG-22,Jun 2022,0.38,0.46,0.08,21.05
KAMN,04-AUG-22,Jun 2022,0.38,0.31,-0.07,-18.42
BXC,02-AUG-22,Jun 2022,7.64,7.48,-0.16,-2.09
TILE,05-AUG-22,Jun 2022,0.33,0.36,0.03,9.09
VVI,04-AUG-22,Jun 2022,-0.02,0.74,0.76,3800.0
MTW,04-AUG-22,Jun 2022,0.36,0.21,-0.15,-41.67
ACCO,08-AUG-22,Jun 2022,0.42,0.37,-0.05,-11.9
HCCI,27-JUL-22,Jun 2022,0.5,0.97,0.47,94.0
HSC,02-AUG-22,Jun 2022,0.01,0.01,0.0,0.0
VSEC,27-JUL-22,Jun 2022,0.62,0.75,0.13,20.97
HYLN,09-AUG-22,Jun 2022,-0.19,-0.19,0.0,0.0
SNCY,08-AUG-22,Jun 2022,0.13,-0.03,-0.16,-123.08
NWPX,08-AUG-22,Jun 2022,0.73,1.04,0.31,42.47
DCO,04-AUG-22,Jun 2022,0.83,0.76,-0.07,-8.43
GNK,03-AUG-22,Jun 2022,1.08,1.1,0.02,1.85
BLNK,08-AUG-22,Jun 2022,-0.36,-0.41,-0.05,-13.89
ASLE,08-AUG-22,Jun 2022,0.18,0.56,0.38,211.11
ULCC,27-JUL-22,Jun 2022,0.09,0.09,0.0,0.0
REVG,07-SEP-22,Jul 2022,0.21,0.24,0.03,14.29
FORR,28-JUL-22,Jun 2022,0.74,1.0,0.26,35.14
HSII,25-JUL-22,Jun 2022,0.98,1.19,0.21,21.43
ULH,28-JUL-22,Jun 2022,1.16,1.69,0.53,45.69
BV,04-AUG-22,Jun 2022,0.49,0.43,-0.06,-12.24
TPIC,03-AUG-22,Jun 2022,-0.3,-0.48,-0.18,-60.0
HDSN,03-AUG-22,Jun 2022,0.4,0.59,0.19,47.5
CMPR,27-JUL-22,Jun 2022,-1.24,-1.17,0.07,5.65
AMOT,03-AUG-22,Jun 2022,0.25,0.36,0.11,44.0
UHAL,03-AUG-22,Jun 2022,17.8,17.03,-0.77,-4.33
DM,08-AUG-22,Jun 2022,-0.08,-0.1,-0.02,-25.0
ALTG,09-AUG-22,Jun 2022,0.05,0.21,0.16,320.0
TRNS,01-AUG-22,Jun 2022,0.26,0.4,0.14,53.85
LXFR,26-JUL-22,Jun 2022,0.34,0.36,0.02,5.88
BLDE,09-AUG-22,Jun 2022,-0.13,-0.09,0.04,30.77
CTOS,09-AUG-22,Jun 2022,-0.01,0.03,0.04,400.0
GLDD,02-AUG-22,Jun 2022,0.23,-0.06,-0.29,-126.09
TSP,02-AUG-22,Jun 2022,-0.6,-0.49,0.11,18.33
STRC,09-AUG-22,Jun 2022,-0.11,-0.12,-0.01,-9.09
BW,08-AUG-22,Jun 2022,0.03,0.02,-0.01,-33.33
AAPL,28-JUL-22,Jun 2022,1.14,1.2,0.06,5.26
MSFT,26-JUL-22,Jun 2022,2.28,2.23,-0.05,-2.19
NVDA,24-AUG-22,Jul 2022,0.56,0.51,-0.05,-8.93
V,26-JUL-22,Jun 2022,1.74,1.98,0.24,13.79
MA,28-JUL-22,Jun 2022,2.36,2.56,0.2,8.47
AVGO,01-SEP-22,Jul 2022,9.62,9.73,0.11,1.14
CSCO,17-AUG-22,Jul 2022,0.82,0.83,0.01,1.22
ACN,23-JUN-22,May 2022,2.84,2.79,-0.05,-1.76
TXN,26-JUL-22,Jun 2022,2.07,2.45,0.38,18.36
ADBE,16-JUN-22,May 2022,3.3,3.35,0.05,1.52
CRM,24-AUG-22,Jul 2022,1.02,1.19,0.17,16.67
QCOM,27-JUL-22,Jun 2022,2.86,2.96,0.1,3.5
IBM,18-JUL-22,Jun 2022,2.29,2.31,0.02,0.87
INTC,28-JUL-22,Jun 2022,0.69,0.29,-0.4,-57.97
ORCL,13-JUN-22,May 2022,1.38,1.54,0.16,11.59
INTU,23-AUG-22,Jul 2022,0.98,1.1,0.12,12.24
AMD,02-AUG-22,Jun 2022,1.03,1.05,0.02,1.94
ADP,27-JUL-22,Jun 2022,1.48,1.5,0.02,1.35
PYPL,02-AUG-22,Jun 2022,0.85,0.93,0.08,9.41
AMAT,18-AUG-22,Jul 2022,1.78,1.94,0.16,8.99
ADI,17-AUG-22,Jul 2022,2.43,2.52,0.09,3.7
NOW,27-JUL-22,Jun 2022,1.53,1.62,0.09,5.88
LRCX,27-JUL-22,Jun 2022,7.31,8.83,1.52,20.79
MU,30-JUN-22,May 2022,2.44,2.59,0.15,6.15
FISV,26-JUL-22,Jun 2022,1.54,1.56,0.02,1.3
KLAC,28-JUL-22,Jun 2022,5.46,5.81,0.35,6.41
SNPS,17-AUG-22,Jul 2022,2.04,2.1,0.06,2.94
ADSK,24-AUG-22,Jul 2022,1.56,1.65,0.09,5.77
PANW,22-AUG-22,Jul 2022,0.76,0.8,0.04,5.26
ROP,22-JUL-22,Jun 2022,3.82,3.95,0.13,3.4
APH,27-JUL-22,Jun 2022,0.67,0.75,0.08,11.94
SNOW,24-AUG-22,Jul 2022,-0.02,0.01,0.03,150.0
CDNS,25-JUL-22,Jun 2022,0.97,1.08,0.11,11.34
MSI,04-AUG-22,Jun 2022,1.87,2.07,0.2,10.7
ENPH,26-JUL-22,Jun 2022,0.83,1.07,0.24,28.92
MCHP,02-AUG-22,Jun 2022,1.34,1.37,0.03,2.24
FIS,04-AUG-22,Jun 2022,1.7,1.73,0.03,1.76
PAYX,29-JUN-22,May 2022,0.79,0.81,0.02,2.53
MRVL,25-AUG-22,Jul 2022,0.56,0.57,0.01,1.79
SQ,04-AUG-22,Jun 2022,0.18,0.18,0.0,0.0
FTNT,03-AUG-22,Jun 2022,0.22,0.24,0.02,9.09
ON,01-AUG-22,Jun 2022,1.26,1.34,0.08,6.35
ANET,01-AUG-22,Jun 2022,0.92,1.08,0.16,17.39
KEYS,17-AUG-22,Jul 2022,1.79,2.01,0.22,12.29
HPQ,30-AUG-22,Jul 2022,1.04,1.04,0.0,0.0
WDAY,25-AUG-22,Jul 2022,0.79,0.83,0.04,5.06
CTSH,27-JUL-22,Jun 2022,1.09,1.14,0.05,4.59
CRWD,30-AUG-22,Jul 2022,0.28,0.36,0.08,28.57
GPN,01-AUG-22,Jun 2022,2.36,2.36,0.0,0.0
IT,02-AUG-22,Jun 2022,2.14,2.85,0.71,33.18
GLW,26-JUL-22,Jun 2022,0.56,0.57,0.01,1.79
CDW,03-AUG-22,Jun 2022,2.4,2.49,0.09,3.75
VMW,25-AUG-22,Jul 2022,1.61,1.64,0.03,1.86
ANSS,03-AUG-22,Jun 2022,1.61,1.77,0.16,9.94
ZM,22-AUG-22,Jul 2022,0.92,1.05,0.13,14.13
DDOG,04-AUG-22,Jun 2022,0.14,0.24,0.1,71.43
HPE,30-AUG-22,Jul 2022,0.48,0.48,0.0,0.0
TDY,27-JUL-22,Jun 2022,4.38,4.43,0.05,1.14
TEAM,04-AUG-22,Jun 2022,0.26,0.27,0.01,3.85
EPAM,04-AUG-22,Jun 2022,1.71,2.38,0.67,39.18
VRSN,28-JUL-22,Jun 2022,1.52,1.54,0.02,1.32
MPWR,01-AUG-22,Jun 2022,2.94,3.25,0.31,10.54
PAYC,02-AUG-22,Jun 2022,1.12,1.26,0.14,12.5
FSLR,28-JUL-22,Jun 2022,0.3,0.52,0.22,73.33
BR,12-AUG-22,Jun 2022,2.65,2.65,0.0,0.0
NTAP,24-AUG-22,Jul 2022,1.1,1.2,0.1,9.09
SWKS,04-AUG-22,Jun 2022,2.36,2.44,0.08,3.39
TRMB,05-AUG-22,Jun 2022,0.61,0.64,0.03,4.92
TER,26-JUL-22,Jun 2022,1.14,1.21,0.07,6.14
AKAM,09-AUG-22,Jun 2022,1.31,1.35,0.04,3.05
FLT,03-AUG-22,Jun 2022,3.89,4.17,0.28,7.2
FICO,03-AUG-22,Jun 2022,4.06,4.47,0.41,10.1
PLTR,08-AUG-22,Jun 2022,0.03,-0.01,-0.04,-133.33
PTC,27-JUL-22,Jun 2022,1.07,0.97,-0.1,-9.35
HUBS,04-AUG-22,Jun 2022,0.43,0.44,0.01,2.33
ZBRA,02-AUG-22,Jun 2022,4.19,4.61,0.42,10.02
SPLK,24-AUG-22,Jul 2022,-0.37,0.09,0.46,124.32
TYL,27-JUL-22,Jun 2022,1.83,1.88,0.05,2.73
JKHY,16-AUG-22,Jun 2022,1.0,1.1,0.1,10.0
WDC,05-AUG-22,Jun 2022,1.77,1.78,0.01,0.56
BILL,18-AUG-22,Jun 2022,-0.13,-0.03,0.1,76.92
SSNC,27-JUL-22,Jun 2022,1.17,1.1,-0.07,-5.98
GDDY,03-AUG-22,Jun 2022,0.47,0.56,0.09,19.15
ZS,08-SEP-22,Jul 2022,0.2,0.25,0.05,25.0
DELL,25-AUG-22,Jul 2022,1.63,1.68,0.05,3.07
ENTG,02-AUG-22,Jun 2022,1.05,1.0,-0.05,-4.76
MDB,31-AUG-22,Jul 2022,-0.29,-0.23,0.06,20.69
WOLF,17-AUG-22,Jun 2022,-0.1,-0.02,0.08,80.0
QRVO,03-AUG-22,Jun 2022,2.12,2.25,0.13,6.13
DOX,03-AUG-22,Jun 2022,1.26,1.27,0.01,0.79
JNPR,26-JUL-22,Jun 2022,0.45,0.42,-0.03,-6.67
ZEN,28-JUL-22,Jun 2022,0.11,0.14,0.03,27.27
BKI,04-AUG-22,Jun 2022,0.64,0.65,0.01,1.56
DOCU,08-SEP-22,Jul 2022,0.42,0.44,0.02,4.76
CDAY,03-AUG-22,Jun 2022,0.11,0.21,0.1,90.91
TWLO,04-AUG-22,Jun 2022,-0.2,-0.11,0.09,45.0
PSTG,31-AUG-22,Jul 2022,0.22,0.32,0.1,45.45
JBL,16-JUN-22,May 2022,1.62,1.72,0.1,6.17
FFIV,25-JUL-22,Jun 2022,2.23,2.57,0.34,15.25
CGNX,02-AUG-22,Jun 2022,0.42,0.41,-0.01,-2.38
PCTY,04-AUG-22,Jun 2022,0.52,0.8,0.28,53.85
LSCC,01-AUG-22,Jun 2022,0.4,0.42,0.02,5.0
G,04-AUG-22,Jun 2022,0.64,0.7,0.06,9.38
MANH,26-JUL-22,Jun 2022,0.53,0.69,0.16,30.19
GLOB,18-AUG-22,Jun 2022,1.21,1.22,0.01,0.83
OKTA,31-AUG-22,Jul 2022,-0.3,-0.1,0.2,66.67
WEX,28-JUL-22,Jun 2022,3.42,3.71,0.29,8.48
DT,03-AUG-22,Jun 2022,0.18,0.18,0.0,0.0
U,09-AUG-22,Jun 2022,-0.2,-0.18,0.02,10.0
ARW,04-AUG-22,Jun 2022,5.57,5.78,0.21,3.77
DXC,03-AUG-22,Jun 2022,0.82,0.75,-0.07,-8.54
CIEN,01-SEP-22,Jul 2022,0.35,0.33,-0.02,-5.71
BSY,09-AUG-22,Jun 2022,0.17,0.22,0.05,29.41
DBX,04-AUG-22,Jun 2022,0.37,0.38,0.01,2.7
EXLS,28-JUL-22,Jun 2022,1.33,1.5,0.17,12.78
AZPN,08-AUG-22,Jun 2022,2.15,2.43,0.28,13.02
NTNX,31-AUG-22,Jul 2022,-0.39,-0.17,0.22,56.41
LFUS,02-AUG-22,Jun 2022,4.03,4.26,0.23,5.71
NATI,28-JUL-22,Jun 2022,0.34,0.36,0.02,5.88
CNXC,27-JUN-22,May 2022,2.84,2.93,0.09,3.17
NOVT,09-AUG-22,Jun 2022,0.72,0.78,0.06,8.33
ESTC,25-AUG-22,Jul 2022,-0.17,-0.15,0.02,11.76
WU,03-AUG-22,Jun 2022,0.41,0.51,0.1,24.39
SWCH,08-AUG-22,Jun 2022,0.06,0.02,-0.04,-66.67
GWRE,06-SEP-22,Jul 2022,-0.04,0.03,0.07,175.0
OLED,04-AUG-22,Jun 2022,0.97,0.87,-0.1,-10.31
SLAB,27-JUL-22,Jun 2022,0.91,1.17,0.26,28.57
QLYS,08-AUG-22,Jun 2022,0.8,0.89,0.09,11.25
POWI,04-AUG-22,Jun 2022,0.98,1.03,0.05,5.1
SPSC,27-JUL-22,Jun 2022,0.49,0.53,0.04,8.16
PATH,06-SEP-22,Jul 2022,-0.11,-0.02,0.09,81.82
COHR,24-AUG-22,Jun 2022,0.95,0.98,0.03,3.16
FN,15-AUG-22,Jun 2022,1.55,1.68,0.13,8.39
WIX,10-AUG-22,Jun 2022,-0.39,-0.14,0.25,64.1
AVT,10-AUG-22,Jun 2022,1.96,2.07,0.11,5.61
CRUS,02-AUG-22,Jun 2022,0.85,1.12,0.27,31.76
MKSI,27-JUL-22,Jun 2022,2.31,2.59,0.28,12.12
EEFT,27-JUL-22,Jun 2022,1.64,1.73,0.09,5.49
TENB,26-JUL-22,Jun 2022,0.01,0.05,0.04,400.0
FIVN,28-JUL-22,Jun 2022,0.18,0.34,0.16,88.89
LITE,16-AUG-22,Jun 2022,1.35,1.47,0.12,8.89
SNX,28-JUN-22,May 2022,2.61,2.72,0.11,4.21
DLB,09-AUG-22,Jun 2022,0.6,0.68,0.08,13.33
SYNA,04-AUG-22,Jun 2022,3.69,3.87,0.18,4.88
COUP,06-SEP-22,Jul 2022,0.09,0.2,0.11,122.22
MMS,03-AUG-22,Jun 2022,0.98,0.78,-0.2,-20.41
RMBS,01-AUG-22,Jun 2022,0.4,0.43,0.03,7.5
ONTO,09-AUG-22,Jun 2022,1.26,1.28,0.02,1.59
SMCI,09-AUG-22,Jun 2022,2.35,2.62,0.27,11.49
CALX,25-JUL-22,Jun 2022,0.19,0.22,0.03,15.79
WK,09-AUG-22,Jun 2022,-0.26,-0.17,0.09,34.62
BOX,24-AUG-22,Jul 2022,0.28,0.28,0.0,0.0
APP,10-AUG-22,Jun 2022,0.15,-0.06,-0.21,-140.0
SANM,01-AUG-22,Jun 2022,1.15,1.3,0.15,13.04
SMAR,01-SEP-22,Jul 2022,-0.2,-0.1,0.1,50.0
AEIS,03-AUG-22,Jun 2022,1.14,1.44,0.3,26.32
BL,04-AUG-22,Jun 2022,0.01,0.07,0.06,600.0
MTSI,28-JUL-22,Jun 2022,0.7,0.73,0.03,4.29
S,31-AUG-22,Jul 2022,-0.26,-0.2,0.06,23.08
RNG,02-AUG-22,Jun 2022,0.4,0.45,0.05,12.5
DIOD,04-AUG-22,Jun 2022,1.75,1.9,0.15,8.57
NSIT,04-AUG-22,Jun 2022,2.02,2.78,0.76,37.62
BDC,03-AUG-22,Jun 2022,1.43,1.6,0.17,11.89
VNT,04-AUG-22,Jun 2022,0.69,0.72,0.03,4.35
IPGP,02-AUG-22,Jun 2022,1.12,1.38,0.26,23.21
BMI,20-JUL-22,Jun 2022,0.53,0.57,0.04,7.55
TDC,04-AUG-22,Jun 2022,0.33,0.33,0.0,0.0
NEWR,04-AUG-22,Jun 2022,-0.36,-0.26,0.1,27.78
PLXS,27-JUL-22,Jun 2022,1.1,1.33,0.23,20.91
STNE,18-AUG-22,Jun 2022,0.11,0.05,-0.06,-54.55
BLKB,02-AUG-22,Jun 2022,0.69,0.75,0.06,8.7
ENV,04-AUG-22,Jun 2022,0.46,0.49,0.03,6.52
SPT,02-AUG-22,Jun 2022,-0.06,-0.04,0.02,33.33
NCR,27-JUL-22,Jun 2022,0.61,0.71,0.1,16.39
CVLT,26-JUL-22,Jun 2022,0.63,0.64,0.01,1.59
AYX,02-AUG-22,Jun 2022,-0.6,-0.46,0.14,23.33
AFRM,25-AUG-22,Jun 2022,-0.45,-0.65,-0.2,-44.44
VSH,02-AUG-22,Jun 2022,0.65,0.82,0.17,26.15
VIAV,11-AUG-22,Jun 2022,0.23,0.24,0.01,4.35
AMKR,01-AUG-22,Jun 2022,0.47,0.51,0.04,8.51
KLIC,03-AUG-22,Jun 2022,1.55,2.09,0.54,34.84
ALTR,04-AUG-22,Jun 2022,0.09,0.13,0.04,44.44
ALRM,09-AUG-22,Jun 2022,0.4,0.49,0.09,22.5
FOUR,04-AUG-22,Jun 2022,0.26,0.33,0.07,26.92
MXL,27-JUL-22,Jun 2022,1.02,1.11,0.09,8.82
VRNT,07-SEP-22,Jul 2022,0.53,0.56,0.03,5.66
ITRI,04-AUG-22,Jun 2022,0.21,0.07,-0.14,-66.67
ACLS,03-AUG-22,Jun 2022,1.03,1.32,0.29,28.16
PRGS,28-JUN-22,May 2022,0.95,1.04,0.09,9.47
PRFT,04-AUG-22,Jun 2022,1.05,1.06,0.01,0.95
DOCN,08-AUG-22,Jun 2022,0.1,0.2,0.1,100.0
VSAT,08-AUG-22,Jun 2022,-0.49,-0.29,0.2,40.82
APPF,28-JUL-22,Jun 2022,-0.14,0.03,0.17,121.43
NTCT,04-AUG-22,Jun 2022,0.22,0.24,0.02,9.09
AMBA,30-AUG-22,Jul 2022,0.2,0.2,0.0,0.0
EVTC,04-AUG-22,Jun 2022,0.66,0.65,-0.01,-1.52
NCNO,01-SEP-22,Jul 2022,-0.08,-0.04,0.04,50.0
ROG,03-AUG-22,Jun 2022,1.43,1.22,-0.21,-14.69
ALGM,28-JUL-22,Jun 2022,0.22,0.24,0.02,9.09
PI,27-JUL-22,Jun 2022,-0.02,0.11,0.13,650.0
EXTR,27-JUL-22,Jun 2022,0.15,0.15,0.0,0.0
VRRM,03-AUG-22,Jun 2022,0.25,0.29,0.04,16.0
DV,03-AUG-22,Jun 2022,0.04,0.06,0.02,50.0
XRX,26-JUL-22,Jun 2022,0.12,0.13,0.01,8.33
CSGS,03-AUG-22,Jun 2022,0.84,0.84,0.0,0.0
SMTC,31-AUG-22,Jul 2022,0.85,0.87,0.02,2.35
KNBE,04-AUG-22,Jun 2022,0.03,0.07,0.04,133.33
PD,01-SEP-22,Jul 2022,-0.09,-0.04,0.05,55.56
EVOP,01-AUG-22,Jun 2022,0.27,0.3,0.03,11.11
COMM,04-AUG-22,Jun 2022,0.33,0.41,0.08,24.24
SITM,03-AUG-22,Jun 2022,1.01,1.11,0.1,9.9
IDCC,04-AUG-22,Jun 2022,0.58,0.69,0.11,18.97
RPD,03-AUG-22,Jun 2022,-0.04,-0.01,0.03,75.0
MSTR,02-AUG-22,Jun 2022,-2.2,-92.81,-90.61,-4118.64
SABR,02-AUG-22,Jun 2022,-0.35,-0.25,0.1,28.57
DGII,04-AUG-22,Jun 2022,0.38,0.45,0.07,18.42
AGYS,26-JUL-22,Jun 2022,0.18,0.21,0.03,16.67
FORM,27-JUL-22,Jun 2022,0.44,0.46,0.02,4.55
UI,26-AUG-22,Jun 2022,1.24,1.53,0.29,23.39
OSIS,18-AUG-22,Jun 2022,1.95,1.96,0.01,0.51
MEI,01-SEP-22,Jul 2022,0.48,0.58,0.1,20.83
APPN,04-AUG-22,Jun 2022,-0.35,-0.46,-0.11,-31.43
QTWO,03-AUG-22,Jun 2022,0.05,0.07,0.02,40.0
COHU,28-JUL-22,Jun 2022,0.71,0.81,0.1,14.08
PEGA,27-JUL-22,Jun 2022,-0.03,-0.38,-0.35,-1166.67
UCTT,28-JUL-22,Jun 2022,1.03,1.04,0.01,0.97
APPS,08-AUG-22,Jun 2022,0.35,0.38,0.03,8.57
KN,02-AUG-22,Jun 2022,0.31,0.33,0.02,6.45
JAMF,04-AUG-22,Jun 2022,0.01,0.03,0.02,200.0
PLUS,03-AUG-22,Jun 2022,0.99,0.99,0.0,0.0
MODN,09-AUG-22,Jun 2022,0.15,0.23,0.08,53.33
ASAN,07-SEP-22,Jul 2022,-0.39,-0.34,0.05,12.82
ADTN,03-AUG-22,Jun 2022,0.12,0.19,0.07,58.33
TTMI,03-AUG-22,Jun 2022,0.33,0.54,0.21,63.64
INFN,28-JUL-22,Jun 2022,-0.07,-0.05,0.02,28.57
RAMP,04-AUG-22,Jun 2022,-0.02,0.05,0.07,350.0
HLIT,01-AUG-22,Jun 2022,0.09,0.16,0.07,77.78
AVDX,03-AUG-22,Jun 2022,-0.13,-0.07,0.06,46.15
PRO,28-JUL-22,Jun 2022,-0.17,-0.14,0.03,17.65
EVBG,09-AUG-22,Jun 2022,-0.12,0.03,0.15,125.0
CLFD,28-JUL-22,Jun 2022,0.67,0.92,0.25,37.31
PLAB,30-AUG-22,Jul 2022,0.5,0.51,0.01,2.0
AVID,02-AUG-22,Jun 2022,0.25,0.26,0.01,4.0
ATEN,02-AUG-22,Jun 2022,0.15,0.17,0.02,13.33
RELY,03-AUG-22,Jun 2022,-0.2,-0.23,-0.03,-15.0
MARA,08-AUG-22,Jun 2022,-0.18,-0.61,-0.43,-238.89
FSLY,03-AUG-22,Jun 2022,-0.16,-0.23,-0.07,-43.75
AMPL,03-AUG-22,Jun 2022,-0.12,-0.08,0.04,33.33
PDFS,11-AUG-22,Jun 2022,0.07,0.11,0.04,57.14
MGI,05-AUG-22,Jun 2022,0.15,0.09,-0.06,-40.0
BTRS,09-AUG-22,Jun 2022,-0.08,-0.03,0.05,62.5
ZUO,24-AUG-22,Jul 2022,-0.05,-0.03,0.02,40.0
AOSL,10-AUG-22,Jun 2022,0.86,0.95,0.09,10.47
SGH,29-JUN-22,May 2022,0.75,0.87,0.12,16.0
RIOT,15-AUG-22,Jun 2022,0.08,-0.5,-0.58,-725.0
VECO,08-AUG-22,Jun 2022,0.28,0.35,0.07,25.0
LPSN,08-AUG-22,Jun 2022,-0.17,-0.35,-0.18,-105.88
AI,31-AUG-22,Jul 2022,-0.26,-0.12,0.14,53.85
NSSC,29-AUG-22,Jun 2022,0.09,0.2,0.11,122.22
TTEC,09-AUG-22,Jun 2022,0.86,0.98,0.12,13.95
SCSC,23-AUG-22,Jun 2022,0.94,0.91,-0.03,-3.19
ICHR,09-AUG-22,Jun 2022,0.81,0.98,0.17,20.99
PAYA,05-AUG-22,Jun 2022,0.1,0.1,0.0,0.0
IMXI,03-AUG-22,Jun 2022,0.39,0.47,0.08,20.51
PAR,09-AUG-22,Jun 2022,-0.35,-0.36,-0.01,-2.86
BIGC,04-AUG-22,Jun 2022,-0.24,-0.19,0.05,20.83
CRSR,04-AUG-22,Jun 2022,0.04,-0.2,-0.24,-600.0
HCKT,09-AUG-22,Jun 2022,0.34,0.38,0.04,11.76
CRNC,09-AUG-22,Jun 2022,0.42,0.43,0.01,2.38
SUMO,25-AUG-22,Jul 2022,-0.14,-0.1,0.04,28.57
NTGR,27-JUL-22,Jun 2022,-0.24,-0.19,0.05,20.83
INFA,27-JUL-22,Jun 2022,0.08,0.16,0.08,100.0
CEVA,09-AUG-22,Jun 2022,0.16,0.18,0.02,12.5
